"Hand #","Date","Stake","My C Won","Final Hand","Hole Cards","Flop","Winner","Position","PF Act","F Act","T Act","R Act","Showdown","Bet PF","Bet F","Bet T","Bet R","Flop Donk","Flop Float","Turn Donk","Turn Float","Turn Probe","River Donk","River Float","River Probe","Flop Call","Turn Call","River Call","Hole Cards Text","Flop Text","Turn Text","River Text"
"19354412123","2019/12/20  7:21 pm","€0.04 NL (6 max)","-€0.01","One Pair, Fours","12110000","40413","[Split Pot]","EP","R","B","X","X","true","€0.12","€0.10","€0.00","€0.00","","","","","","","","","","","","Qs Jc  ","4d 4s Kh","Ac","3s"
"19354399039","2019/12/20  7:18 pm","€0.04 NL (6 max)","-€0.20","One Pair, Threes","4030000","141003","doublej-56","BTN","R","B","X","X","true","€0.10","€0.10","€0.00","€0.00","","","","","","","","","","","","4c 3c  ","Ah 10d 3s","2c","Qc"
"19354394464","2019/12/20  7:17 pm","€0.04 NL (6 max)","-€0.74","Two Pair, Aces and Jacks","11100000","141407","morfalou44","BB","C","X","C","C","true","€0.16","€0.00","€0.18","€0.40","false","","","","","","","","","true","true","Js 10s  ","Ad Ac 7d","Jc","5h"
"19354378500","2019/12/20  7:13 pm","€0.04 NL (6 max)","-€0.33","(folded turn)","14120000","91105","regza44","SB","R","XC","XF","","false","€0.16","€0.17","€0.00","€0.00","","","false","","","","","","true","false","","Ah Qs  ","9c Jc 5d","8h",""
"19354375459","2019/12/20  7:12 pm","€0.04 NL (6 max)","€0.06","Two Pair, Kings and Fours","4040000","131012","Radames06","BB","X","X","X","X","true","€0.04","€0.00","€0.00","€0.00","","","","","","","","","","","","4d 4h  ","Kh 10s Qs","Ks","Ac"
"19354366027","2019/12/20  7:10 pm","€0.04 NL (6 max)","-€0.40","High Card, Ace","7060000","100904","valerien13","BTN","R","C","B","X","true","€0.10","€0.04","€0.26","€0.00","","","","","","","","","true","","","7s 6s  ","10d 9c 4s","Ah","Kc"
"19354361661","2019/12/20  7:09 pm","€0.04 NL (6 max)","-€0.34","One Pair, Twos","13020000","140602","boulimike","BTN","R","X","B","X","true","€0.16","€0.00","€0.18","€0.00","","","","","","","","","","","","Kh 2c  ","Ah 6c 2h","4s","Js"
"19354354819","2019/12/20  7:07 pm","€0.04 NL (6 max)","-€0.10","(folded flop)","14060000","111208","Dem0nFish","BTN","R","F","","","false","€0.10","€0.00","€0.00","€0.00","","","","","","","","","false","","","As 6h  ","Js Qh 8h","",""
"19354351058","2019/12/20  7:06 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","14100000","80307","regza44","MP","R","XF","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","Ah 10c  ","8c 3d 7c","",""
"19354347510","2019/12/20  7:06 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","13120000","80303","Kiry0s","CO","C","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","Kh Qs  ","8h 3h 3c","",""
