"Hand #","Date","Stake","My C Won","Final Hand","Hole Cards","Flop","Winner","Position","PF Act","F Act","T Act","R Act","Showdown","Bet PF","Bet F","Bet T","Bet R","Flop Donk","Flop Float","Turn Donk","Turn Float","Turn Probe","River Donk","River Float","River Probe","Flop Call","Turn Call","River Call","Hole Cards Text","Flop Text","Turn Text","River Text"
"19334650514","2019/12/15  2:25 pm","€0.04 NL (6 max)","€0.03","Two Pair, Aces and Nines","14080000","130909","[Split Pot]","CO","R","X","B","B","true","€0.12","€0.00","€0.11","€0.28","","","","","","","","","","","","Ah 8d  ","Kc 9h 9s","As","Jh"
"19334646116","2019/12/15  2:23 pm","€0.04 NL (6 max)","€0.37","Two Pair, Queens and Sevens","12090000","121107","Radames06","BTN","R","B","B","X","true","€0.10","€0.10","€0.20","€0.00","","","","","","","","","","","","Qc 9h  ","Qh Jh 7c","7h","Kd"
"19334641692","2019/12/15  2:22 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","10100000","31304","SoOpa LovA","MP","C","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","10h 10c  ","3c Kd 4d","2h","Jd"
"19334631458","2019/12/15  2:18 pm","€0.04 NL (6 max)","-€0.71","(folded turn)","6050000","51110","SoOpa LovA","SB","R","B","XF","","false","€0.36","€0.35","€0.00","€0.00","","","","","","","","","","false","","6d 5d  ","5c Js 10s","9c",""
"19334630053","2019/12/15  2:18 pm","€0.04 NL (6 max)","-€0.04","(folded turn)","4020000","50911","Foo Fighters","BB","X","X","F","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","","false","","4s 2c  ","5c 9c Js","6h",""
"19334626949","2019/12/15  2:17 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","14040000","81207","hardennes4208","EP","R","XF","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","Ah 4h  ","8d Qd 7c","",""
"19334616277","2019/12/15  2:13 pm","€0.04 NL (6 max)","-€0.24","(folded river)","11070000","71210","mabab","CO","R","B","X","XF","false","€0.12","€0.12","€0.00","€0.00","","","","","","","","","","","false","Js 7s  ","7h Qs 10h","Ad","4s"
"19334610030","2019/12/15  2:11 pm","€0.04 NL (6 max)","-€0.71","Two Pair, Kings and Jacks","13120000","91306","mcamajtg","SB","C","X","B","B","true","€0.12","€0.00","€0.22","€0.37","false","","","","true","","","","","","","Kc Qh  ","9d Kd 6c","Jd","Js"
"19334605344","2019/12/15  2:10 pm","€0.04 NL (6 max)","-€1.32","(folded river)","10100000","40807","mcamajtg","BB","R","B","XC","XF","false","€0.30","€0.38","€0.64","€0.00","","","","","","false","","","","true","false","10c 10s  ","4d 8s 7h","Kh","2h"
"19334595447","2019/12/15  2:06 pm","€0.04 NL (6 max)","-€0.10","(folded turn)","12030000","31406","maccam97","BTN","R","X","F","","false","€0.10","€0.00","€0.00","€0.00","","","","","","","","","","false","","Qs 3s  ","3h Ad 6d","5h",""
"19334588231","2019/12/15  2:04 pm","€0.04 NL (6 max)","€1.04","(did not show hand)","12110000","141110","Radames06","BB","C","XC","XC","XR","false","€0.08","€0.08","€0.32","€2.00","false","","false","","","false","","","true","true","false","Qh Jh  ","As Jc 10h","3h","Kc"
"19334582571","2019/12/15  2:02 pm","€0.04 NL (6 max)","€0.11","(did not show hand)","14030000","31409","Radames06","BTN","R","B","","","false","€0.10","€0.12","€0.00","€0.00","","","","","","","","","","","","Ac 3c  ","3d As 9s","",""
"19334580158","2019/12/15  2:01 pm","€0.04 NL (6 max)","-€0.16","(folded flop)","13090000","110305","maccam97","BB","R","XF","","","false","€0.16","€0.00","€0.00","€0.00","","","","","","","","","false","","","Kh 9d  ","Jc 3h 5c","",""
"19334576287","2019/12/15  1:59 pm","€0.04 NL (6 max)","€0.42","Straight, Five High","14030000","40210","Radames06","BTN","R","B","B","X","true","€0.10","€0.10","€0.26","€0.00","","","","","","","","","","","","As 3d  ","4c 2d 10d","5h","Qd"
"19334572695","2019/12/15  1:57 pm","€0.04 NL (6 max)","€0.13","(did not show hand)","14110000","80907","Radames06","BB","C","X","B","","false","€0.12","€0.00","€0.12","€0.00","false","","","","true","","","","","","","Ah Js  ","8h 9h 7h","9s",""
"19334571543","2019/12/15  1:57 pm","€0.04 NL (6 max)","€0.10","(did not show hand)","12070000","30311","Radames06","BB","C","B","","","false","€0.11","€0.10","€0.00","€0.00","","true","","","","","","","","","","Qc 7c  ","3s 3c Jh","",""
"19334570093","2019/12/15  1:56 pm","€0.04 NL (6 max)","€0.16","(did not show hand)","13120000","70603","Radames06","CO","R","X","B","","false","€0.12","€0.00","€0.14","€0.00","","","","","","","","","","","","Ks Qc  ","7d 6s 3s","10s",""
"19334563967","2019/12/15  1:54 pm","€0.04 NL (6 max)","€0.15","(did not show hand)","12110000","141208","Radames06","SB","C","X","B","","false","€0.12","€0.00","€0.16","€0.00","false","","","","true","","","","","","","Qh Jh  ","Ac Qc 8c","4h",""
"19334563146","2019/12/15  1:53 pm","€0.04 NL (6 max)","€0.86","One Pair, Tens","10100000","110803","Radames06","BTN","RC","","","","true","€0.97","€0.00","€0.00","€0.00","","","","","","","","","","","","10c 10h  ","Jd 8c 3h","Kc","4s"
"19334561142","2019/12/15  1:52 pm","€0.04 NL (6 max)","€0.24","One Pair, Jacks","12110000","60503","Radames06","BB","C","X","X","X","true","€0.12","€0.00","€0.00","€0.00","false","","","","false","","","","","","","Qd Jc  ","6c 5h 3d","Ks","Js"
"19334557295","2019/12/15  1:51 pm","€0.04 NL (6 max)","€1.63","Two Pair, Eights and Sevens","8070000","20807","Radames06","EP","R","B","B","B","true","€0.12","€0.18","€0.62","€0.89","","","","","","","","","","","","8h 7h  ","2h 8c 7c","5d","As"
"19334546254","2019/12/15  1:47 pm","€0.04 NL (6 max)","€0.13","(did not show hand)","14040000","101104","Radames06","CO","R","B","","","false","€0.12","€0.12","€0.00","€0.00","","","","","","","","","","","","Ac 4c  ","10c Jd 4s","",""
"19334539710","2019/12/15  1:45 pm","€0.04 NL (6 max)","-€0.34","One Pair, Threes","10090000","30312","fistinfish","BB","C","X","XC","X","true","€0.14","€0.00","€0.20","€0.00","false","","","","false","false","","","","true","","10d 9d  ","3h 3d Qd","Kh","5h"
"19334536483","2019/12/15  1:43 pm","€0.04 NL (6 max)","-€0.10","(folded river)","10090000","81413","RebeustAAck","BTN","R","X","X","F","false","€0.10","€0.00","€0.00","€0.00","","","","","","","","","","","false","10d 9d  ","8c Ac Ks","Qd","4d"
